src_Scientist_373,src_Disease_115
src_Political-Symbol_96,src_Language_392
src_Philosopher_365,src_Secular-Ideology_126
src_Military-Person_15,src_Military-Organisation_237
src_Intellectual-Construct_191,src_University_186
src_Party_290,src_Newspaper_438
src_Creator_248,src_Diplomat_358
src_Time-Dependent-Relation_361,src_Criminal_63
src_Intellectual-Construct_197,src_Military-Person_180
src_Clerical-Leader_392,src_Period-in-Office_167
src_Measurable-Trend_275,src_Period-in-Office_138
src_Criminal_270,src_Ship_358
src_Sultan_275,src_Water_411
src_Individual_376,src_Country_212
src_Armament_485,src_Management-Organisation_498
src_Representative-Institution_173,src_Politician_120
src_Religious-Symbol_355,src_Journalist_373
src_Intellectual-Construct_76,src_Conductor_185
src_Painting_64,src_Discoverer_83
src_Queen_379,src_Prince_196
src_Composer_463,src_Ritual_34
src_City_460,src_Religious-Symbol_415
src_Category_227,src_Engineer_397
src_Religious-Practice_240,src_Religious-Symbol_107
src_National-Symbol_471,src_Armament_182
src_Political-Organisation_161,src_Disaster_231
src_Social-Stratum_261,src_International-Organisation_24
src_Military-Person_170,src_Structure_82
src_Ethnic-Group_348,src_Scandal_13
src_Clerical-Leader_123,src_Life-Event_392
src_Economist_135,src_Actor_273
src_Role_159,src_Pamphlet_33
src_Journal_317,src_Educational-Organisation_129
src_Scandal_63,src_Sultan_96
src_Organisation_348,src_Church-Reformer_201
src_Pollution_146,src_Village_261
src_Sultan_288,src_Work-of-Art_274
src_Other-Religious-Person_13,src_Meeting_459
src_Journalist_211,src_Conductor_123
src_Village_493,src_Military-Unit_450
src_Secular-Ideology_217,src_Badge_148
src_Journalist_390,src_Inventor_449
src_Life-Event_431,src_Religious-Symbol_398
src_VicodiOI_59,src_Scandal_109
src_Person-Role_481,src_Newspaper_487
src_Natural-Object_165,src_Magnate_55
src_Dramaturge_469,src_Other-Religious-Leader_124
src_Musician_139,src_Religious-Movement_25
src_Work-of-Art_23,src_Symbol_449
src_Masonic-Lodge_73,src_Period-in-Office_354
src_Journal_49,src_Meeting_487
src_Work-of-Art_403,src_Building_217
src_Journal_233,src_Jurist_306
src_Psychologist_432,src_Artistic-Movement_273
src_Person-Role_324,src_Painting_158
src_Religious-Symbol_245,src_Building_375
src_Film-Maker_435,src_Saint_330
src_Time-Dependent-Relation_225,src_Emperor_189
src_Psychologist_6,src_Prince_136
src_Sculptor_332,src_Conceptual-Object_429
src_Queen_90,src_Scientific-Instrument_65
src_Creator_397,src_Musician_32
src_Natural-Object_340,src_Event_91
src_Village_286,src_Composer_423
src_Technical-Scientific-Advance_358,src_Dramaturge_249
src_Leader_393,src_Cleric_261
src_Economist_90,src_Economist_212
src_Author_139,src_Professor_482
src_Foreign-Minister_479,src_Scandal_66
src_Trial_254,src_Pope_77
src_Treaty_1,src_Cultural-Agreement_273
src_Cleric_347,src_Fictional-Person_170
src_Sportsman_470,src_Physician_28
src_Public-Oration_42,src_Organisation_120
src_Armament_249,src_Field-of-Knowledge_445
src_Artistic-Style_155,src_Pamphlet_448
src_Military-Unit_209,src_Painting_308
src_Educational-Organisation_17,src_Religious-Organisation_175
src_Educational-Organisation_184,src_Economist_446
src_Educational-Organisation_56,src_Trades-Unionist_135
src_Stereotype-Group_281,src_Secular-Leader_410
src_Inventor_80,src_Work-of-Art_115
src_Management-Organisation_420,src_Head-of-Government_279
src_War_21,src_Journalist_190
src_Battle_430,src_Geographical-Discovery_226
src_Geographer_202,src_Population-Movement_491
src_Village_359,src_Ethnic-Group_428
src_Writing_484,src_Religious-Organisation_303
src_Conceptual-Object_226,src_Physician_446
src_Intellectual-Movement_166,src_Discoverer_117
src_Organisation_365,src_Public-Oration_392
src_Religious-Community_217,src_Author_12
src_Intellectual-Movement_247,src_Politician_350
src_Natural-Object_138,src_King_104
src_Location-Part-Relation_204,src_Abstract-Notion_389
src_Professor_388,src_Public-Oration_261
src_Treaty_29,src_Artistic-Movement_10
src_International-Alliance_217,src_Philanthropist_474
src_Religious-Leader_298,src_Sculptor_397
src_Environment_422,src_Artistic-Style_79
src_Trial_53,src_Jurist_11
src_Philosopher_89,src_Trades-Unionist_203
src_Sultan_474,src_Illness_276
src_Conductor_208,src_Work-of-Art_378
src_Train_238,src_Cultural-Agreement_421
src_Piece-of-Music_225,src_Location-Part-Relation_215
src_Economic-Process_30,src_International-Organisation_478
src_Abstract-Notion_85,src_Masonic-Lodge_119
src_Legislation_155,src_Person_344
src_Newspaper_275,src_Engineer_276
src_Management-Organisation_45,src_Ritual_212
src_Cultural-Organisation_447,src_Intellectual-Movement_322
src_Party_226,src_Party_90
src_Crime_497,src_Publisher_16
src_Movement_201,src_Time-Dependent-Relation_131
src_Structure_317,src_Entertainer_103
src_Astronaut_429,src_Head-of-Government_35
src_Person_35,src_National-Symbol_30
src_Piece-of-Music_425,src_Cleric_243
src_Object_162,src_Population-Movement_376
src_Economic-Symbol_271,src_Publisher_43
src_Landmark_398,src_Field-of-Knowledge_344
src_Religious-Movement_75,src_Head-of-Government_52
src_Movement_444,src_Art-Form_268
src_Illness_207,src_Architect_31
src_Film-Maker_446,src_Badge_53
src_Pastime_114,src_Scientific-Instrument_80
src_Sculpture_53,src_Scientific-Instrument_44
src_Ideology_351,src_Uprising_359
src_Landmark_304,src_Natural-Object_276
src_Trades-Union_285,src_Ecclesiarch_349
src_Social-Group_44,src_FuzzyTemporalInterval_497
src_King_209,src_Social-Group_244
src_Battle_339,src_Conceptual-Object_54
src_Sultan_253,src_Art-Form_454
src_Magnate_479,src_Relic_99
src_Management-Organisation_417,src_Writing_326
src_VicodiOI_282,src_Commodity_191
src_Cultural-Agreement_29,src_Prince_215
src_Journal_277,src_League_47
src_League_44,src_Meeting_94
src_Actor_219,src_Work-of-Art_249
src_Ideology_469,src_Crime_311
src_Engineer_301,src_Religious-Ideology_121
src_Trial_121,src_Film-Maker_276
src_Object_413,src_Ship_326
src_Environment_317,src_Masonic-Lodge_496
src_Election_317,src_King_153
src_Head-of-State_399,src_Life-Event_221
src_International-Organisation_378,src_Other-Religious-Leader_69
src_Secular-Movement_233,src_Governmental-Organisation_230
src_Meeting_255,src_Economic-Process_333
src_Military-Person_51,src_Location_185
src_Natural-Object_185,src_Geographical-Feature_77
src_Religious-Ideology_32,src_Economic-Enterprise_433
src_War_466,src_Intra-State-Group_256
src_Piece-of-Music_321,src_Building_133
src_International-Organisation_352,src_Political-Symbol_370
src_Badge_163,src_Engineer_43
src_Trades-Union_208,src_Intellectual-Movement_320
src_Field-of-Knowledge_188,src_Period-in-Office_493
src_Journal_401,src_Painter_194
src_Political-Symbol_170,src_Illness_219
src_Dancer_164,src_Professor_72
src_Theologian_376,src_Geographical-Discovery_302
src_Disaster_152,src_Geographer_277
src_Educational-Organisation_398,src_Secular-Leader_146
src_Life-Event_101,src_Masonic-Lodge_409
src_Illness_426,src_Painting_244
src_Intellectual-Movement_350,src_Liturgical-Object_88
src_Animal_459,src_Pamphlet_296
src_Non-Military-Conflict_52,src_Conductor_371
src_Theologian_387,src_Social-Group_472
src_Governmental-Organisation_58,src_Educational-Organisation_42
src_Leader_75,src_Legislation_482
src_Functionary_209,src_Professor_360
src_Event_343,src_Public-Oration_2
src_Piece-of-Music_76,src_Church_161
src_Art-Form_315,src_Church_113
src_Social-Group_418,src_Clerical-Leader_112
src_Leader_263,src_VicodiOI_63
src_Diplomat_300,src_Economic-Enterprise_24
src_Religious-Movement_488,src_Train_97
src_Secular-Leader_150,src_Ritual_95
src_Train_246,src_Geographer_235
src_Ship_430,src_Magnate_73
src_Religious-Symbol_51,src_Badge_43
src_Leader_278,src_Saint_289
src_Religious-Community_258,src_Population-Movement_159
src_Church-Reformer_460,src_Individual_224
src_FuzzyTemporalInterval_407,src_Religious-Symbol_338
src_Newspaper_241,src_Country_111
src_Engineer_191,src_FuzzyTemporalInterval_11
src_Commodity_61,src_Professor_465
src_Philosopher_346,src_Trades-Union_324
src_Commodity_27,src_Diplomat_362
src_Discoverer_266,src_Other-Religious-Person_312
src_Pollution_235,src_Masonic-Lodge_173
src_Secular-Leader_54,src_Management-Organisation_241
src_Author_337,src_Time_247
src_Psychologist_174,src_Actor_330
src_Political-Symbol_292,src_Painting_361
src_Foreign-Minister_211,src_Functionary_438
src_Entertainer_206,src_Relic_168
src_Discoverer_301,src_Time_62
src_Religious-Symbol_252,src_Intellectual-Movement_400
src_Intellectual-Construct_299,src_Governmental-Organisation_362
src_Food_248,src_Cultural-Organisation_84
src_Religious-Leader_435,src_Geographical-Feature_212
src_Emperor_441,src_Piece-of-Music_260
src_Individual_256,src_Secular-Leader_111
src_Pamphlet_222,src_Ship_67
src_Abstract-Notion_109,src_Non-Military-Conflict_345
src_Church-Reformer_424,src_Idea_344
src_Musician_329,src_Natural-Object_437
src_War_323,src_Disease_149
src_Armament_198,src_Public-Oration_365
src_Food_57,src_Church_74
src_Other-Religious-Leader_368,src_Dancer_89
src_Flavour_376,src_Political-Region_354
src_Field-of-Knowledge_261,src_Dancer_81
src_Trades-Union_215,src_Business-Leader_234
src_Public-Oration_12,src_Entertainer_46
src_Head-of-Government_493,src_Individual_104
src_Landmark_468,src_Ritual_74
src_Illness_427,src_Geographer_309
src_Art-Form_180,src_Economic-Symbol_239
src_Animal_452,src_Astronaut_22
src_Military-Organisation_225,src_Prince_411
src_Political-Organisation_496,src_Clothing_82
src_Idea_209,src_Economist_254
src_Political-Symbol_360,src_Sportsman_9
src_Entertainer_408,src_Intellectual-Construct_497
src_Head-of-Government_137,src_Non-Military-Conflict_66
src_Sculptor_98,src_Political-Region_32
src_Painter_482,src_International-Organisation_282
src_Publisher_302,src_Economist_477
src_Business-Leader_356,src_International-Organisation_379
src_Board_302,src_Entertainer_491
src_Functionary_153,src_Village_329
src_Intra-State-Group_482,src_Intellectual-Movement_99
src_Stereotype-Group_236,src_Engineer_411
src_Secular-Leader_140,src_Discoverer_106
src_Uprising_225,src_Water_31
src_Religious-Movement_394,src_Fictional-Event_196
src_Trades-Union_107,src_Crime_413
src_Time-Dependent-Relation_297,src_Political-Organisation_438
src_Movement_479,src_City_67
src_Treaty_326,src_Village_453
src_Uprising_392,src_Intra-State-Group_372
src_Book_456,src_Uprising_284
src_Intellectual-Movement_174,src_Geographical-Region_40
src_Disease_59,src_Psychologist_201
src_Sculpture_448,src_Armament_249
src_International-Organisation_485,src_Measurable-Trend_127
src_University_488,src_Secular-Ideology_304
src_Military-Person_436,src_Illness_241
src_Train_468,src_Other-Religious-Leader_112
src_Flavour_220,src_Composer_405
src_Political-Organisation_364,src_Intellectual-Construct_274
src_Psychologist_408,src_Political-Symbol_322
src_Symbol_16,src_Building_47
src_Governmental-Organisation_10,src_Uprising_302
src_Business-Leader_185,src_Artefact_416
src_Pastime_124,src_Technical-Scientific-Advance_160
src_Village_252,src_Educational-Organisation_320
src_Uprising_371,src_Trade-Association_247
src_Management-Organisation_268,src_Water_44
src_Clothing_417,src_Secular-Leader_104
src_Queen_347,src_Period_122
src_Minister_376,src_Time-Dependent-Relation_60
src_Other-Religious-Leader_165,src_Conductor_250
src_Time-Dependent-Relation_199,src_Sportsman_371
src_Board_362,src_Dancer_228
src_Composer_146,src_Secular-Leader_97
src_Relic_438,src_Person-Role_235
src_Economic-Symbol_498,src_Religious-Organisation_96
src_Sculpture_76,src_Other-Religious-Person_346
src_Religious-Ideology_443,src_Secular-Ideology_371
src_Ritual_373,src_Creator_487
src_Measurable-Trend_172,src_Fictional-Person_28
src_Movement_444,src_Non-Military-Conflict_198
src_Sportsman_319,src_Badge_91
src_Category_285,src_Church-Reformer_70
src_Battle_123,src_Role_392
src_Period_352,src_Sculpture_120
src_Sculptor_52,src_Sportsman_464
src_Political-Organisation_109,src_Flavour_286
src_Educational-Organisation_430,src_Sculptor_333
src_Religious-Movement_355,src_Work-of-Art_153
src_Dynasty_12,src_Uprising_480
src_War_375,src_Uprising_246
src_Author_268,src_Professor_182
src_Religious-Movement_187,src_Jurist_352
src_Trades-Unionist_61,src_Time-Dependent-Relation_180
src_Physician_348,src_King_139
src_Economic-Organisation_328,src_Time-Dependent_396
src_Sculpture_486,src_Religious-Practice_243
src_Intellectual-Construct_427,src_Fictional-Event_478
src_Time_421,src_War_106
src_Author_150,src_Work-of-Art_208
src_Artistic-Style_56,src_Train_45
src_Disease_0,src_Time_161
src_Foreign-Minister_499,src_Clerical-Leader_252
