src_Settlement_442,src_Head-of-State_270
src_Economic-Process_97,src_Musician_72
src_Church-Reformer_106,src_Armament_228
src_Business-Leader_379,src_Intellectual-Movement_112
src_Actor_131,src_Fictional-Event_95
src_Settlement_13,src_Uprising_112
src_Building_5,src_Food_189
src_Time-Dependent_496,src_Astronaut_245
src_Representative-Institution_222,src_Sculptor_209
src_Architect_296,src_Military-Organisation_316
src_Time-Dependent_230,src_Ritual_225
src_Natural-Object_287,src_Prince_43
src_Writing_203,src_Public-Oration_409
src_Population-Movement_355,src_Other-Religious-Leader_461
src_Secular-Ideology_277,src_Economist_214
src_Scientist_166,src_Geographer_273
src_Economic-Organisation_141,src_Role_424
src_Scientific-Instrument_485,src_Cathedral_190
src_Role_352,src_Flavour_264
src_Period_388,src_Measurable-Trend_370
src_Engineer_250,src_Political-Region_6
src_City_321,src_Abbey_233
src_Cultural-Agreement_197,src_Masonic-Lodge_299
src_Field-of-Knowledge_422,src_Scientist_202
src_Political-Region_125,src_Artistic-Style_328
src_King_365,src_TemporalInterval_434
src_Trade-Association_234,src_Intellectual-Construct_153
src_Church_48,src_Train_290
src_Sculptor_63,src_Minister_223
src_Symbol_216,src_Economic-Process_449
src_League_67,src_Economic-Organisation_269
src_Social-Stratum_247,src_Village_179
src_Conceptual-Object_152,src_Illness_473
src_Religious-Movement_404,src_Cathedral_147
src_Magnate_190,src_Cleric_184
src_Scientist_343,src_Artistic-Style_366
src_Artist_42,src_Conceptual-Object_486
src_Church_327,src_Geographical-Discovery_401
src_Uprising_289,src_VicodiOI_98
src_Religious-Organisation_26,src_Geographer_370
src_Actor_352,src_Economic-Symbol_212
src_Object_73,src_Trade-Association_282
src_Writing_351,src_Religious-Symbol_105
src_Ethnic-Group_274,src_Period_475
src_Conductor_492,src_Musician_80
src_Flavour_180,src_Painting_364
src_Publisher_482,src_Illness_156
src_Disaster_478,src_Governmental-Organisation_184
src_Religious-Leader_152,src_Musician_299
src_Artist_489,src_Book_123
src_International-Alliance_353,src_Religious-Practice_400
src_Event_257,src_League_56
src_Country_15,src_Abbey_341
src_Professor_101,src_Language_323
src_Ethnic-Group_458,src_Book_293
src_Flavour_213,src_Field-of-Knowledge_111
src_Scientific-Instrument_36,src_Armament_47
src_Time-Dependent-Relation_188,src_Water_244
src_Life-Event_188,src_Geographer_221
src_Architect_52,src_Cleric_199
src_Religious-Organisation_249,src_Newspaper_461
src_University_134,src_Astronaut_417
src_Leader_397,src_Artistic-Movement_279
src_Economic-Symbol_140,src_Abstract-Notion_115
src_Cleric_308,src_Head-of-Government_384
src_Scandal_325,src_Queen_336
src_Functionary_228,src_Symbol_316
src_Religious-Order_374,src_Psychologist_380
src_TemporalInterval_360,src_Professor_428
src_Political-Organisation_344,src_Illness_218
src_Cultural-Organisation_168,src_Entertainer_453
src_Armament_122,src_Art-Form_463
src_Water_276,src_Social-Stratum_18
src_Animal_141,src_Dynasty_69
src_Psychologist_490,src_Crime_125
src_Actor_72,src_Minister_328
src_Ritual_126,src_Military-Unit_463
src_Time-Dependent_351,src_Pope_231
src_Person_221,src_Art-Form_406
src_Leader_65,src_Military-Unit_240
src_Book_425,src_Village_326
src_Period-in-Office_164,src_Film-Maker_183
src_Queen_201,src_Disease_244
src_Abstract-Notion_5,src_Pollution_354
src_Person_310,src_Pope_256
src_Structure_203,src_Minister_312
src_Location_354,src_University_296
src_Musician_254,src_Battle_489
src_Settlement_378,src_Landmark_174
src_Ideology_473,src_Person-Role_495
src_Crime_496,src_Ecclesiarch_2
src_Military-Unit_342,src_Film-Maker_491
src_Trial_85,src_Battle_300
src_Masonic-Lodge_239,src_Measurable-Trend_164
src_Intra-State-Group_414,src_Religious-Order_30
src_Time_40,src_Composer_79
src_Military-Person_218,src_Foreign-Minister_231
src_Field-of-Knowledge_1,src_Film-Maker_301
src_Pollution_309,src_Secular-Leader_141
src_Educational-Organisation_335,src_Sultan_463
src_Trades-Unionist_217,src_Intra-State-Group_260
src_Role_180,src_Board_404
src_Trades-Union_21,src_Publisher_68
src_Organisation_4,src_Psychologist_309
src_Representative-Institution_439,src_Conductor_246
src_Work-of-Art_448,src_Liturgical-Object_0
src_Publisher_348,src_Economic-Process_434
src_Location_31,src_Book_369
src_Church_224,src_Engineer_246
src_Professor_225,src_Religious-Symbol_460
src_Military-Unit_215,src_Church-Reformer_81
src_Church-Reformer_386,src_TemporalInterval_332
src_Artistic-Movement_224,src_Religious-Community_273
src_Person_121,src_Pamphlet_24
src_Military-Person_267,src_Location-Part-Relation_493
src_Sculptor_319,src_Military-Organisation_222
src_Relic_140,src_Artistic-Style_232
src_Publisher_211,src_Environment_130
src_Cleric_249,src_Ethnic-Group_447
src_Leader_374,src_Vehicle_279
src_Artist_362,src_Landmark_490
src_Ship_265,src_Cathedral_190
src_Sculptor_323,src_Representative-Institution_11
src_Queen_295,src_Life-Event_121
src_Life-Event_131,src_Religious-Community_216
src_Flavour_482,src_Cultural-Agreement_281
src_Functionary_229,src_Piece-of-Music_61
src_Flavour_479,src_Sculptor_183
src_Professor_47,src_Country_411
src_Period-in-Office_292,src_Pollution_390
src_Painting_237,src_Trade-Association_290
src_Governmental-Organisation_19,src_Intellectual-Construct_486
src_Public-Oration_104,src_Disaster_476
src_Conductor_21,src_Crime_303
src_Entertainer_169,src_Vehicle_191
src_Measurable-Trend_417,src_Non-Military-Conflict_455
src_Treaty_261,src_Actor_34
src_Governmental-Organisation_353,src_Abstract-Notion_319
src_Piece-of-Music_312,src_Artefact_80
src_Musician_390,src_Monastery_355
src_Actor_347,src_Pamphlet_326
src_Military-Unit_98,src_Jurist_452
src_Pastime_384,src_Saint_485
src_Political-Symbol_206,src_King_88
src_Religious-Practice_498,src_Population-Movement_417
src_Abstract-Notion_281,src_Event_250
src_Journal_84,src_Period_379
src_Church-Reformer_24,src_Disease_101
src_Non-Military-Conflict_397,src_Ship_208
src_Physician_222,src_Geographical-Region_309
src_Country_298,src_Ethnic-Group_35
src_Organisation_484,src_Conductor_338
src_Organisation_352,src_Building_246
src_Cleric_108,src_Dynasty_466
src_Trades-Unionist_429,src_Animal_140
src_Religious-Movement_287,src_University_323
src_Political-Region_72,src_Dynasty_100
src_Secular-Leader_160,src_Animal_166
src_Pope_247,src_Period-in-Office_485
src_Geographical-Discovery_112,src_Technical-Scientific-Advance_16
src_Illness_318,src_University_275
src_Criminal_193,src_Technical-Scientific-Advance_116
src_Religious-Community_179,src_Painter_112
src_Person-Role_469,src_University_290
src_Artist_226,src_Emperor_184
src_Head-of-State_474,src_Social-Group_74
src_International-Organisation_335,src_Country_47
src_Political-Symbol_453,src_Masonic-Lodge_454
src_Location_341,src_Leader_202
src_War_453,src_Religious-Ideology_467
src_Publisher_14,src_Clerical-Leader_17
src_Person-Role_146,src_Intra-State-Group_269
src_Trades-Unionist_66,src_Settlement_407
src_Entertainer_105,src_Technical-Scientific-Advance_489
src_Professor_51,src_Political-Organisation_173
src_Composer_176,src_Disease_353
src_Location_139,src_Other-Religious-Leader_86
src_Board_343,src_Author_488
src_Village_363,src_Military-Person_177
src_Legislation_220,src_Commodity_109
src_Composer_268,src_Educational-Organisation_332
src_Church_132,src_Commodity_372
src_Secular-Leader_117,src_FuzzyTemporalInterval_59
src_VicodiOI_425,src_Ritual_97
src_Queen_422,src_Dramaturge_230
src_Intellectual-Movement_369,src_King_422
src_National-Symbol_372,src_Location-Part-Relation_371
src_Diplomat_221,src_Religious-Leader_97
src_Ritual_476,src_Sportsman_45
src_Foreign-Minister_236,src_Ethnic-Group_159
src_Architect_183,src_Scientist_177
src_King_43,src_Event_417
src_Person_28,src_Social-Stratum_28
src_Abstract-Notion_476,src_Engineer_430
src_Publisher_335,src_Criminal_122
src_Inventor_269,src_Abbey_127
src_Trade-Association_110,src_Secular-Leader_1
src_Movement_29,src_Discoverer_377
src_National-Symbol_352,src_Head-of-State_343
src_Time-Dependent_395,src_Scientist_470
src_Writing_459,src_Religious-Community_351
src_Ideology_15,src_Fictional-Event_4
src_Magnate_443,src_Leader_8
src_Geographical-Discovery_298,src_Structure_395
src_Sculpture_62,src_Flavour_303
src_Astronaut_490,src_Religious-Leader_59
src_Dramaturge_444,src_Religious-Ideology_385
src_Military-Unit_68,src_Economist_55
src_Political-Organisation_186,src_Village_407
src_Relic_372,src_Masonic-Lodge_223
src_Astronaut_292,src_Political-Organisation_12
src_Time_310,src_Life-Event_402
src_Social-Group_385,src_Economic-Process_117
src_Time-Dependent-Relation_128,src_Politician_0
src_Conductor_487,src_Non-Military-Conflict_423
src_Head-of-State_380,src_Governmental-Organisation_453
src_Artistic-Style_53,src_Armament_256
src_Politician_436,src_Life-Event_287
src_Population-Movement_71,src_Technical-Scientific-Advance_461
src_University_169,src_Relic_428
src_Building_202,src_Party_18
src_Political-Organisation_279,src_Scientist_77
src_Religious-Practice_214,src_Role_342
src_Engineer_21,src_Organisation_107
src_Queen_405,src_Secular-Ideology_29
src_Film-Maker_126,src_Language_353
src_Scandal_438,src_Astronaut_365
src_Secular-Movement_481,src_Flavour_380
src_Religious-Leader_221,src_Engineer_206
src_Dynasty_2,src_Non-Military-Conflict_1
src_Economic-Process_271,src_Crime_372
src_Animal_247,src_Other-Religious-Leader_222
src_Pollution_244,src_Religious-Ideology_312
src_Individual_64,src_Church-Reformer_385
src_Intellectual-Construct_147,src_Pastime_123
src_Artefact_420,src_Illness_390
src_Role_286,src_Saint_101
src_Religious-Leader_42,src_Badge_429
src_Ecclesiarch_420,src_Musician_18
src_Symbol_8,src_Uprising_445
src_Location-Part-Relation_292,src_War_224
src_Business-Leader_139,src_Technical-Scientific-Advance_162
src_Social-Group_353,src_Representative-Institution_251
src_Period-in-Office_234,src_Cathedral_303
src_Event_401,src_Time-Dependent-Relation_335
src_Religious-Leader_255,src_Piece-of-Music_416
src_Time-Dependent-Relation_204,src_Disaster_93
src_Journal_74,src_Film-Maker_337
src_Geographical-Discovery_107,src_Environment_73
src_Professor_190,src_Philanthropist_452
src_Natural-Object_408,src_Religious-Leader_404
src_Social-Stratum_48,src_Religious-Leader_467
src_Head-of-State_106,src_Crime_240
src_Flavour_248,src_Field-of-Knowledge_227
src_Painter_143,src_Cathedral_499
src_Economic-Organisation_205,src_Sculpture_109
src_Magnate_111,src_Ethnic-Group_451
src_Country_367,src_Political-Organisation_45
src_Event_216,src_Country_196
src_Professor_258,src_Philanthropist_137
src_Composer_402,src_Religious-Symbol_344
src_Movement_470,src_Country_285
src_Ritual_365,src_Philosopher_257
src_Life-Event_410,src_Secular-Ideology_446
src_Technical-Scientific-Advance_227,src_Election_102
src_Train_55,src_Astronaut_146
src_Category_197,src_Philanthropist_142
src_Actor_48,src_Dynasty_318
src_Military-Person_467,src_Philosopher_343
src_Food_380,src_Ecclesiarch_331
src_Political-Region_406,src_Scientific-Instrument_260
src_Armament_53,src_Dancer_116
src_Trades-Union_424,src_King_86
src_Other-Religious-Person_41,src_Trades-Unionist_125
src_Person_167,src_Discoverer_458
src_Fictional-Event_257,src_Location_193
src_Intellectual-Movement_375,src_VicodiOI_25
src_Artist_312,src_Clerical-Leader_109
src_Artistic-Style_395,src_Religious-Symbol_394
src_Structure_150,src_Educational-Organisation_494
src_Head-of-State_24,src_Clerical-Leader_363
src_Pollution_86,src_Author_250
src_Religious-Organisation_291,src_Physician_432
src_Magnate_202,src_Religious-Movement_107
src_Dramaturge_357,src_Functionary_6
src_Food_468,src_Writing_242
src_Pamphlet_402,src_Journalist_141
src_Building_12,src_Prince_28
src_Crime_9,src_Intellectual-Movement_469
src_Dancer_394,src_Political-Symbol_488
src_Pope_244,src_Liturgical-Object_52
src_Idea_402,src_Time_79
src_Writing_101,src_Sultan_26
src_Conceptual-Object_0,src_Business-Leader_250
src_Inventor_441,src_Cultural-Agreement_463
src_Object_376,src_King_339
src_Political-Region_49,src_King_169
src_Foreign-Minister_368,src_Head-of-State_68
src_Newspaper_338,src_Military-Organisation_210
src_Religious-Leader_171,src_King_166
src_Journalist_124,src_Battle_189
src_Trade-Association_485,src_Location-Part-Relation_126
src_Politician_367,src_Period-in-Office_450
src_Village_81,src_Intra-State-Group_331
src_Trades-Unionist_126,src_Board_253
src_Population-Movement_145,src_International-Organisation_266
src_Social-Stratum_265,src_Artist_402
src_Pollution_142,src_Trades-Unionist_263
