src_TemporalInterval_103,src_Election_387
src_Country_473,src_Public-Oration_478
src_Artefact_459,src_Religious-Practice_483
src_Professor_103,src_Treaty_6
src_Conceptual-Object_15,src_Life-Event_499
src_Time-Dependent_210,src_International-Organisation_476
src_Building_42,src_Functionary_385
src_League_198,src_Structure_386
src_Art-Form_90,src_Geographical-Feature_464
src_Publisher_130,src_Location_368
src_Publisher_325,src_Crime_215
src_Location-Part-Relation_7,src_Sultan_287
src_Politician_345,src_Physician_443
src_Religious-Organisation_246,src_Organisation_370
src_Representative-Institution_487,src_Architect_374
src_Social-Group_448,src_Intellectual-Movement_125
src_Economic-Process_235,src_Commodity_417
src_Political-Region_461,src_Period_84
src_Journalist_383,src_Religious-Order_447
src_Role_407,src_Governmental-Organisation_208
src_Geographical-Discovery_305,src_Dramaturge_467
src_Disaster_221,src_Organisation_249
src_Geographical-Discovery_364,src_University_5
src_Theologian_27,src_International-Alliance_481
src_Foreign-Minister_11,src_Book_121
src_Time-Dependent_226,src_Governmental-Organisation_227
src_Meeting_214,src_Conceptual-Object_274
src_Movement_218,src_Legislation_352
src_Geographical-Discovery_203,src_Military-Person_276
src_Natural-Object_129,src_Book_374
src_Ecclesiarch_151,src_Economic-Enterprise_62
src_Badge_155,src_Dancer_15
src_Economic-Process_183,src_Author_124
src_FuzzyTemporalInterval_249,src_Individual_434
src_Settlement_158,src_Structure_357
src_Trades-Unionist_100,src_Minister_329
src_Business-Leader_430,src_Language_497
src_Ethnic-Group_493,src_Creator_127
src_Educational-Organisation_132,src_Economic-Enterprise_152
src_Person_160,src_Journalist_467
src_Geographical-Region_414,src_Animal_353
src_Object_31,src_Economic-Process_491
src_Prince_263,src_Head-of-State_307
src_Battle_473,src_Military-Organisation_270
src_Management-Organisation_355,src_Period_479
src_Village_169,src_Country_122
src_Pamphlet_48,src_Sculpture_123
src_Cleric_258,src_Educational-Organisation_390
src_Organisation_89,src_Landmark_253
src_Trades-Union_499,src_Educational-Organisation_295
src_Scientific-Instrument_32,src_Newspaper_237
src_Pamphlet_362,src_Economic-Enterprise_275
src_Ship_385,src_Ideology_426
src_Location-Part-Relation_273,src_Secular-Ideology_257
src_Cleric_87,src_Politician_221
src_Population-Movement_186,src_Village_358
src_Ethnic-Group_48,src_Artefact_447
src_Population-Movement_464,src_Dynasty_63
src_Vehicle_294,src_VicodiOI_162
src_Armament_481,src_Environment_160
src_Emperor_453,src_Military-Organisation_248
src_Journalist_410,src_Structure_393
src_TemporalInterval_449,src_Minister_115
src_Geographical-Discovery_466,src_War_232
src_Time-Dependent_358,src_Natural-Object_459
src_Artistic-Movement_480,src_Dynasty_269
src_Environment_220,src_Abstract-Notion_343
src_Pope_136,src_Discoverer_316
src_Geographer_227,src_Inventor_464
src_Village_267,src_Person_275
src_Village_25,src_Author_271
src_University_216,src_Astronaut_181
src_Cultural-Organisation_469,src_Time_223
src_Journalist_231,src_Representative-Institution_15
src_Sportsman_375,src_Idea_368
src_Artistic-Style_450,src_Trade-Association_153
src_Treaty_314,src_Ethnic-Group_452
src_Book_455,src_Settlement_214
src_Time-Dependent-Relation_60,src_Newspaper_373
src_Scandal_251,src_Liturgical-Object_291
src_Military-Person_486,src_Pollution_472
src_Management-Organisation_379,src_Illness_447
src_Politician_7,src_Disaster_416
src_Non-Military-Conflict_75,src_Idea_258
src_Measurable-Trend_67,src_Church_464
src_Measurable-Trend_424,src_Clothing_137
src_Time-Dependent-Relation_94,src_Masonic-Lodge_44
src_Dynasty_267,src_Representative-Institution_56
src_Individual_248,src_Natural-Object_136
src_Engineer_305,src_Water_463
src_Conductor_367,src_Pollution_23
src_Inventor_87,src_Trades-Unionist_51
src_Social-Stratum_174,src_Animal_293
src_Building_77,src_Commodity_286
src_Musician_254,src_Architect_301
src_Disease_268,src_Movement_166
src_FuzzyTemporalInterval_161,src_Political-Symbol_279
src_Work-of-Art_390,src_Religious-Organisation_430
src_Political-Symbol_220,src_Newspaper_194
src_Publisher_486,src_Trade-Association_288
src_Election_498,src_Public-Oration_39
src_Composer_186,src_Piece-of-Music_271
src_Religious-Order_409,src_Disaster_203
src_Inventor_143,src_Scientist_183
src_Language_317,src_Philanthropist_369
src_Intellectual-Movement_353,src_Geographical-Region_279
src_Election_306,src_Leader_273
src_Monastery_497,src_Professor_481
src_Management-Organisation_60,src_Economic-Symbol_93
src_Dancer_292,src_Trades-Union_454
src_Geographical-Region_55,src_Political-Region_163
src_VicodiOI_466,src_Economic-Symbol_197
src_Technical-Scientific-Advance_422,src_Political-Organisation_100
src_Political-Organisation_178,src_Composer_216
src_Piece-of-Music_305,src_Natural-Object_87
src_Role_286,src_Religious-Practice_298
src_Art-Form_4,src_Professor_204
src_Head-of-Government_429,src_Management-Organisation_198
src_Theologian_267,src_City_233
src_Functionary_343,src_Fictional-Person_242
src_Theologian_150,src_Film-Maker_251
src_Population-Movement_389,src_Emperor_200
src_Artist_480,src_Party_133
src_Physician_207,src_Category_139
src_Water_225,src_Artist_183
src_Social-Stratum_143,src_Religious-Symbol_74
src_Film-Maker_242,src_FuzzyTemporalInterval_83
src_Role_365,src_Pollution_24
src_Legislation_437,src_Sportsman_492
src_Economic-Process_114,src_Monastery_250
src_Publisher_119,src_King_306
src_Political-Organisation_475,src_Trade-Association_285
src_Functionary_116,src_Cultural-Agreement_322
src_Location-Part-Relation_289,src_Illness_40
src_Intra-State-Group_435,src_Geographical-Feature_208
src_Religious-Ideology_364,src_Uprising_113
src_Building_165,src_Pastime_179
src_Pollution_22,src_Event_268
src_Trade-Association_248,src_Structure_434
src_Secular-Ideology_426,src_King_126
src_Art-Form_285,src_Geographical-Feature_11
src_Crime_455,src_Technical-Scientific-Advance_391
src_Religious-Symbol_15,src_Actor_126
src_Musician_8,src_Economic-Process_208
src_Measurable-Trend_488,src_National-Symbol_345
src_Economic-Process_59,src_Religious-Practice_229
src_Population-Movement_393,src_Secular-Movement_211
src_Time-Dependent_228,src_Relic_379
src_Prince_391,src_Flavour_167
src_Prince_489,src_Diplomat_323
src_Relic_394,src_Military-Person_313
src_Foreign-Minister_485,src_Battle_100
src_Journal_346,src_Time-Dependent_422
src_Field-of-Knowledge_235,src_Period-in-Office_249
src_Location_422,src_Dramaturge_274
src_Disaster_62,src_Geographer_100
src_Economist_87,src_Disease_9
src_Other-Religious-Leader_439,src_Water_436
src_Food_276,src_Artistic-Style_322
src_Field-of-Knowledge_420,src_Settlement_315
src_Politician_156,src_Military-Organisation_373
src_Object_461,src_Ship_24
src_Location-Part-Relation_289,src_Geographer_382
src_Artistic-Style_234,src_Individual_369
src_Liturgical-Object_353,src_Professor_446
src_Intra-State-Group_138,src_International-Organisation_418
src_Environment_396,src_Economist_85
src_Psychologist_99,src_Food_364
src_Leader_474,src_Trades-Unionist_354
src_Badge_65,src_Geographical-Discovery_118
src_Event_228,src_FuzzyTemporalInterval_337
src_Magnate_450,src_Ritual_351
src_Population-Movement_472,src_Conductor_169
src_Actor_68,src_Economic-Enterprise_173
src_Person-Role_463,src_Masonic-Lodge_113
src_Minister_64,src_Field-of-Knowledge_459
src_Ecclesiarch_252,src_Secular-Leader_374
src_International-Organisation_331,src_Crime_463
src_Abbey_239,src_Object_323
src_Geographer_53,src_Clerical-Leader_76
src_Psychologist_441,src_International-Alliance_243
src_Uprising_323,src_Clerical-Leader_108
src_Political-Region_492,src_Politician_215
src_Religious-Ideology_118,src_Geographical-Feature_487
src_Head-of-State_213,src_Technical-Scientific-Advance_37
src_Dramaturge_299,src_Uprising_187
src_Environment_355,src_Piece-of-Music_17
src_Psychologist_439,src_Economic-Symbol_69
src_Vehicle_203,src_Artistic-Movement_51
src_Category_470,src_Individual_333
src_Disaster_456,src_Structure_14
src_VicodiOI_237,src_Governmental-Organisation_262
src_Prince_470,src_Publisher_46
src_Engineer_410,src_Economist_338
src_Military-Person_392,src_Actor_118
src_Political-Organisation_0,src_Foreign-Minister_27
src_Engineer_76,src_Religious-Community_407
src_Religious-Movement_289,src_Armament_215
src_Measurable-Trend_159,src_Illness_450
src_Artistic-Movement_478,src_Dynasty_123
src_Trades-Unionist_315,src_International-Organisation_34
src_Sculptor_183,src_Writing_420
src_Life-Event_342,src_Meeting_163
src_Newspaper_200,src_Cultural-Agreement_300
src_Military-Organisation_74,src_Foreign-Minister_15
src_Battle_160,src_Dramaturge_239
src_Theologian_240,src_Train_121
src_Election_203,src_Event_370
src_Work-of-Art_139,src_Political-Symbol_184
src_Political-Symbol_261,src_Time-Dependent_101
src_Engineer_304,src_Film-Maker_460
src_Village_220,src_Queen_418
src_Military-Organisation_429,src_Ethnic-Group_276
src_Treaty_412,src_Public-Oration_279
src_Minister_148,src_Settlement_188
src_Animal_221,src_International-Alliance_235
src_Architect_291,src_Physician_109
src_Person_86,src_Religious-Ideology_141
src_Other-Religious-Leader_151,src_Train_488
src_Book_490,src_Country_39
src_Saint_250,src_Geographer_462
src_Political-Symbol_23,src_Ethnic-Group_288
src_Scientist_387,src_International-Alliance_158
src_Sultan_205,src_Cathedral_146
src_Writing_58,src_Cathedral_408
src_Sculptor_226,src_Animal_492
src_Ship_175,src_Pope_127
src_Art-Form_188,src_Other-Religious-Leader_317
src_League_221,src_Technical-Scientific-Advance_340
src_Location_143,src_Animal_118
src_Board_197,src_Artistic-Style_252
src_City_238,src_Train_179
src_Relic_385,src_Individual_222
src_Film-Maker_95,src_Person_266
src_Religious-Ideology_431,src_Dynasty_370
src_Religious-Order_229,src_Governmental-Organisation_154
src_Representative-Institution_2,src_Geographical-Discovery_498
src_Person_219,src_Military-Person_477
src_Military-Unit_193,src_Sculptor_361
src_Secular-Ideology_484,src_Musician_450
src_Period_216,src_Philosopher_486
src_Disaster_78,src_Location_375
src_International-Organisation_364,src_Abstract-Notion_341
src_Location_369,src_Economist_336
src_Cleric_316,src_Animal_285
src_Film-Maker_367,src_Trades-Union_81
src_Religious-Ideology_347,src_Musician_143
src_Artistic-Movement_203,src_Artistic-Movement_251
src_Religious-Organisation_71,src_Sultan_105
src_Religious-Movement_148,src_Secular-Leader_243
src_Political-Organisation_69,src_Movement_151
src_Business-Leader_345,src_Professor_217
src_Trades-Union_480,src_Trial_41
src_Cultural-Agreement_79,src_Individual_10
src_Settlement_77,src_Sculptor_238
src_Location_56,src_Psychologist_162
src_League_157,src_Individual_50
src_Trial_364,src_Environment_135
src_Legislation_44,src_Functionary_65
src_Trades-Unionist_487,src_Abbey_271
src_Abbey_433,src_Individual_93
src_Commodity_260,src_Location_281
src_Religious-Practice_225,src_Trial_455
src_Representative-Institution_401,src_Painter_316
src_Religious-Order_251,src_Economic-Symbol_174
src_Fictional-Person_450,src_Pope_405
src_Geographer_70,src_Event_110
src_Time-Dependent-Relation_269,src_Journal_137
src_Country_8,src_Economic-Symbol_158
src_Liturgical-Object_452,src_Geographer_28
src_Sultan_451,src_Food_445
src_Economic-Symbol_16,src_Party_395
src_Educational-Organisation_372,src_Scientist_429
src_Legislation_82,src_Train_130
src_Uprising_446,src_Saint_90
src_Politician_117,src_Country_154
src_Food_33,src_Functionary_95
src_Film-Maker_433,src_Structure_480
src_Ethnic-Group_201,src_Ecclesiarch_157
src_Architect_492,src_Economic-Organisation_268
src_Journalist_377,src_Art-Form_430
src_Time-Dependent-Relation_196,src_Social-Stratum_435
src_Life-Event_342,src_Economic-Organisation_83
src_Event_13,src_Person-Role_424
src_Work-of-Art_248,src_Journalist_457
src_National-Symbol_14,src_Country_414
src_Sultan_1,src_Entertainer_203
src_Foreign-Minister_181,src_Foreign-Minister_23
src_Public-Oration_494,src_International-Organisation_445
src_Secular-Ideology_84,src_Educational-Organisation_122
src_Intellectual-Movement_395,src_Water_54
src_Ethnic-Group_172,src_Fictional-Event_254
src_Time_444,src_Object_207
src_Economic-Symbol_211,src_Engineer_340
src_Military-Unit_231,src_Settlement_370
src_War_359,src_Religious-Leader_376
src_Ecclesiarch_479,src_Religious-Practice_155
src_Economic-Process_491,src_Head-of-State_44
src_Queen_248,src_Military-Unit_414
src_Clothing_491,src_Environment_356
src_Battle_361,src_Piece-of-Music_142
src_Treaty_344,src_Sportsman_32
src_Architect_465,src_Geographer_459
src_Functionary_418,src_Environment_188
src_Journal_307,src_Philosopher_76
