src_Church_137,src_Military-Organisation_482
src_Dramaturge_343,src_Political-Symbol_329
src_Train_165,src_Military-Organisation_490
src_Non-Military-Conflict_55,src_Diplomat_284
src_Astronaut_39,src_Ritual_378
src_Political-Organisation_299,src_Work-of-Art_103
src_Cultural-Organisation_312,src_Newspaper_251
src_Painter_85,src_Minister_364
src_Inventor_425,src_Astronaut_172
src_Economic-Enterprise_13,src_Environment_218
src_Diplomat_343,src_Head-of-State_168
src_Architect_160,src_Country_331
src_Cathedral_249,src_Pope_482
src_Functionary_235,src_Military-Person_34
src_Building_420,src_Political-Organisation_451
src_Badge_302,src_Secular-Movement_249
src_Physician_327,src_Relic_474
src_Fictional-Event_347,src_TemporalInterval_315
src_Period_138,src_Election_326
src_Life-Event_338,src_Piece-of-Music_267
src_Social-Group_237,src_League_307
src_Scandal_3,src_Intellectual-Movement_91
src_Population-Movement_364,src_Relic_210
src_Professor_105,src_Theologian_233
src_Head-of-Government_358,src_Period_243
src_Cathedral_79,src_Relic_240
src_Religious-Order_84,src_Religious-Practice_150
src_Piece-of-Music_23,src_Cleric_499
src_Foreign-Minister_436,src_Saint_314
src_Uprising_261,src_Individual_477
src_Queen_24,src_Relic_391
src_FuzzyTemporalInterval_43,src_Trades-Unionist_331
src_Location_30,src_Scientist_221
src_Measurable-Trend_459,src_Trade-Association_165
src_Engineer_91,src_Artistic-Style_61
src_Life-Event_85,src_Management-Organisation_169
src_Foreign-Minister_485,src_Political-Organisation_311
src_Secular-Ideology_312,src_Physician_282
src_Religious-Order_347,src_Political-Region_450
src_Religious-Community_414,src_Religious-Symbol_493
src_Educational-Organisation_94,src_Economist_457
src_Population-Movement_446,src_Life-Event_455
src_Disease_23,src_King_249
src_Painting_299,src_Intellectual-Movement_456
src_Badge_2,src_Art-Form_181
src_Dancer_332,src_Dramaturge_192
src_Category_54,src_Head-of-Government_132
src_Religious-Community_180,src_Military-Unit_238
src_Economic-Symbol_71,src_Economic-Organisation_214
src_Artistic-Style_37,src_Journal_60
src_Battle_126,src_Disease_434
src_Representative-Institution_321,src_Masonic-Lodge_84
src_Dancer_52,src_Social-Group_88
src_Saint_18,src_Newspaper_69
src_Clerical-Leader_125,src_Trades-Union_396
src_Military-Organisation_127,src_Social-Group_130
src_Military-Organisation_325,src_Conductor_225
src_Other-Religious-Leader_126,src_Minister_261
src_Cultural-Agreement_426,src_Philosopher_207
src_Military-Organisation_72,src_Time-Dependent-Relation_289
src_Pastime_206,src_University_469
src_Illness_352,src_Trial_380
src_Cathedral_399,src_Secular-Ideology_143
src_Musician_69,src_Political-Organisation_253
src_Emperor_159,src_Minister_485
src_Functionary_35,src_Category_422
src_Geographical-Region_51,src_Period-in-Office_357
src_Religious-Community_486,src_Sculptor_390
src_Measurable-Trend_418,src_Other-Religious-Person_76
src_Non-Military-Conflict_20,src_Engineer_401
src_Landmark_93,src_King_77
src_Object_1,src_Category_371
src_Military-Organisation_130,src_Secular-Movement_23
src_Film-Maker_34,src_Population-Movement_128
src_Creator_430,src_Educational-Organisation_467
src_Foreign-Minister_69,src_Life-Event_273
src_King_29,src_Management-Organisation_120
src_Secular-Ideology_161,src_Political-Region_132
src_Idea_350,src_Symbol_217
src_Artistic-Style_255,src_Liturgical-Object_56
src_Measurable-Trend_6,src_Party_134
src_Event_73,src_Meeting_93
src_Religious-Community_179,src_Religious-Movement_2
src_Author_496,src_Treaty_321
src_Train_394,src_Object_101
src_Non-Military-Conflict_67,src_Scientific-Instrument_272
src_Church_472,src_Prince_440
src_Minister_484,src_Political-Region_423
src_Structure_350,src_Psychologist_36
src_Religious-Movement_151,src_Individual_310
src_Sculpture_394,src_Saint_314
src_Head-of-Government_355,src_Symbol_374
src_Functionary_34,src_Train_273
src_Meeting_462,src_Crime_379
src_Ritual_381,src_Publisher_333
src_Landmark_210,src_Author_118
src_Board_219,src_Time-Dependent-Relation_317
src_Military-Unit_208,src_Dancer_412
src_Village_334,src_Entertainer_98
src_Physician_454,src_Population-Movement_176
src_Time_361,src_Criminal_341
src_National-Symbol_278,src_Liturgical-Object_300
src_Social-Stratum_9,src_Disease_173
src_Secular-Ideology_363,src_Representative-Institution_181
src_Cultural-Organisation_256,src_International-Alliance_134
src_Building_257,src_Building_209
src_Religious-Leader_84,src_Clerical-Leader_438
src_Inventor_81,src_Intra-State-Group_139
src_Sculpture_127,src_Painter_52
src_VicodiOI_15,src_Legislation_423
src_Armament_329,src_Representative-Institution_103
src_Pamphlet_410,src_Book_70
src_Entertainer_367,src_City_350
src_Religious-Organisation_468,src_Religious-Organisation_271
src_Artefact_88,src_Sportsman_43
src_Economic-Organisation_184,src_Minister_267
src_Journalist_7,src_Commodity_207
src_International-Organisation_210,src_Journal_240
src_Trades-Unionist_245,src_Time_252
src_Life-Event_143,src_Economic-Enterprise_334
src_Technical-Scientific-Advance_138,src_Political-Symbol_438
src_Artistic-Style_211,src_Philosopher_60
src_Work-of-Art_437,src_Criminal_345
src_Intellectual-Movement_244,src_Individual_137
src_Politician_385,src_Economist_333
src_Language_354,src_Language_111
src_Individual_245,src_Painter_403
src_Idea_46,src_Relic_413
src_Stereotype-Group_285,src_Ritual_262
src_Role_245,src_War_170
src_Monastery_444,src_Painting_235
src_Professor_176,src_Journalist_423
src_Minister_295,src_Life-Event_219
src_Legislation_202,src_Book_124
src_Landmark_244,src_Time-Dependent-Relation_289
src_Intellectual-Movement_127,src_Non-Military-Conflict_255
src_Stereotype-Group_349,src_Field-of-Knowledge_381
src_Economic-Organisation_218,src_Food_411
src_Cultural-Agreement_20,src_War_37
src_Scandal_463,src_Musician_210
src_Event_351,src_Church-Reformer_0
src_Leader_185,src_Person_79
src_Ritual_303,src_Environment_345
src_Cultural-Agreement_483,src_Economic-Organisation_308
src_Ship_114,src_Ritual_220
src_Geographical-Discovery_62,src_Secular-Leader_297
src_Dramaturge_434,src_University_448
src_Film-Maker_435,src_Geographical-Feature_234
src_Masonic-Lodge_382,src_Intellectual-Movement_70
src_Intellectual-Construct_176,src_FuzzyTemporalInterval_124
src_Political-Organisation_33,src_Author_496
src_Water_416,src_Treaty_232
src_FuzzyTemporalInterval_428,src_Dancer_182
src_Politician_133,src_Inventor_194
src_FuzzyTemporalInterval_226,src_Political-Organisation_64
src_Language_212,src_Cultural-Organisation_203
src_Film-Maker_423,src_Clothing_93
src_Economist_340,src_Object_71
src_Piece-of-Music_471,src_Pamphlet_141
src_Economic-Symbol_144,src_Election_228
src_VicodiOI_394,src_League_111
src_Cultural-Organisation_235,src_Leader_408
src_Geographer_444,src_Village_340
src_Geographical-Feature_352,src_Musician_202
src_Geographical-Region_295,src_Ideology_282
src_Role_190,src_Board_308
src_Period-in-Office_457,src_Functionary_469
src_Architect_462,src_Economic-Process_82
src_Musician_465,src_Discoverer_201
src_Ship_201,src_Location-Part-Relation_378
src_Pamphlet_207,src_Composer_121
src_Philosopher_416,src_Scandal_337
src_International-Alliance_138,src_Journalist_184
src_Scandal_4,src_Engineer_448
src_Author_255,src_Architect_140
src_Film-Maker_90,src_Ideology_3
src_Masonic-Lodge_312,src_Artefact_149
src_Painter_22,src_Trades-Union_379
src_Conceptual-Object_423,src_Ethnic-Group_62
src_Religious-Movement_281,src_Ritual_305
src_Conceptual-Object_139,src_Inventor_284
src_Party_472,src_Period-in-Office_217
src_Social-Stratum_200,src_Head-of-Government_273
src_Sculpture_36,src_Structure_152
src_Sultan_340,src_Organisation_126
src_Location-Part-Relation_334,src_Religious-Order_213
src_Queen_38,src_Fictional-Event_68
src_Religious-Community_422,src_Economist_255
src_Theologian_131,src_Environment_258
src_Religious-Community_133,src_Role_476
src_Environment_33,src_Election_216
src_Scientific-Instrument_229,src_Religious-Practice_11
src_King_329,src_Trial_273
src_Animal_305,src_Pamphlet_115
src_Animal_486,src_International-Organisation_178
src_Criminal_139,src_Theologian_65
src_Battle_302,src_Non-Military-Conflict_449
src_Period-in-Office_7,src_Geographical-Discovery_349
src_Prince_257,src_Badge_286
src_Trades-Union_371,src_Natural-Object_109
src_Country_127,src_Flavour_57
src_Military-Organisation_79,src_Village_452
src_Time-Dependent-Relation_184,src_Physician_61
src_Trade-Association_212,src_Settlement_76
src_Religious-Symbol_443,src_Secular-Ideology_149
src_Badge_266,src_Geographer_369
src_Fictional-Person_277,src_Professor_395
src_Pastime_124,src_Technical-Scientific-Advance_43
src_Economic-Process_157,src_Political-Region_80
src_Village_160,src_Painting_126
src_Publisher_259,src_Ethnic-Group_308
src_Secular-Movement_497,src_Entertainer_493
src_Scientist_371,src_Artistic-Style_396
src_Engineer_387,src_Entertainer_326
src_Symbol_229,src_Treaty_134
src_Film-Maker_247,src_Artist_179
src_Fictional-Person_496,src_Trade-Association_222
src_Fictional-Person_169,src_Illness_180
src_Economist_484,src_Prince_96
src_Cathedral_47,src_University_270
src_Country_10,src_Diplomat_215
src_Intra-State-Group_160,src_Ideology_101
src_Animal_124,src_Flavour_100
src_Economic-Process_124,src_Philosopher_167
src_Conceptual-Object_299,src_Sculptor_252
src_Technical-Scientific-Advance_424,src_Publisher_210
src_Religious-Organisation_43,src_Book_277
src_Trades-Unionist_316,src_Creator_385
src_Water_19,src_Election_152
src_Philosopher_19,src_Painting_291
src_Conceptual-Object_431,src_Dramaturge_300
src_Painting_103,src_Sculpture_493
src_Writing_299,src_University_69
src_Inventor_367,src_Philosopher_260
src_Religious-Community_147,src_Cultural-Agreement_262
src_Physician_10,src_Other-Religious-Person_84
src_Diplomat_179,src_Business-Leader_39
src_Religious-Symbol_331,src_Professor_422
src_Trade-Association_154,src_Scientist_358
src_Role_308,src_Philanthropist_275
src_Creator_264,src_Philosopher_462
src_National-Symbol_433,src_Public-Oration_202
src_Location_489,src_Musician_319
src_Magnate_308,src_Ethnic-Group_189
src_Sultan_57,src_Engineer_283
src_Economic-Symbol_156,src_Geographer_248
src_Geographical-Feature_104,src_Geographical-Feature_472
src_Economic-Organisation_416,src_Trade-Association_411
src_Head-of-Government_153,src_Criminal_235
src_Journalist_490,src_Engineer_380
src_Trades-Union_153,src_Period-in-Office_13
src_Religious-Practice_322,src_Religious-Leader_39
src_Religious-Leader_47,src_League_221
src_Sultan_214,src_King_143
src_Newspaper_46,src_Structure_287
src_University_273,src_Jurist_211
src_Conceptual-Object_371,src_Uprising_275
src_Pope_267,src_Disaster_238
src_Time_490,src_Business-Leader_464
src_Other-Religious-Person_492,src_Ritual_417
src_Scandal_34,src_TemporalInterval_224
src_Liturgical-Object_482,src_Religious-Ideology_289
src_Journal_440,src_Religious-Symbol_446
src_Economic-Organisation_465,src_Person_346
src_Country_286,src_Legislation_86
src_Religious-Order_134,src_Scientific-Instrument_28
src_Dramaturge_478,src_Economic-Enterprise_195
src_Artistic-Movement_63,src_Economic-Process_477
src_Musician_37,src_Geographer_21
src_Dynasty_182,src_League_380
src_Astronaut_185,src_War_451
src_Non-Military-Conflict_15,src_Movement_107
src_Sportsman_198,src_Trial_481
src_Role_257,src_Environment_426
src_Journalist_478,src_Clothing_210
src_Intellectual-Construct_145,src_Composer_210
src_Dancer_114,src_Magnate_384
src_Badge_112,src_Actor_254
src_Life-Event_282,src_Cleric_386
src_Artistic-Style_499,src_Economic-Enterprise_256
src_Building_150,src_Vehicle_424
src_Cleric_315,src_Minister_64
src_Person-Role_376,src_Location_490
src_Film-Maker_308,src_Liturgical-Object_495
src_Person_358,src_Badge_415
src_Crime_119,src_Church_317
src_Flavour_287,src_Ideology_484
src_Church-Reformer_94,src_Leader_224
src_Piece-of-Music_58,src_Ship_422
src_Social-Group_464,src_Composer_282
src_Artist_340,src_Disease_383
src_Geographical-Region_215,src_Ritual_198
src_Flavour_109,src_Cultural-Agreement_413
src_Pastime_7,src_Newspaper_99
src_Time-Dependent_479,src_Conductor_460
src_Saint_326,src_Pamphlet_95
src_Publisher_148,src_Pope_460
src_Cleric_168,src_Measurable-Trend_20
src_Ship_378,src_Religious-Organisation_120
src_Stereotype-Group_326,src_Politician_318
src_King_426,src_Philanthropist_120
src_Religious-Practice_280,src_Foreign-Minister_67
src_Symbol_31,src_Abstract-Notion_279
